,noise_rate,alpha,success,performance,drift_name
52,0.0,0.001,True,1302,smooth_concept_drift
53,0.0,0.001,True,30,abrupt_concept_drift
54,0.0,0.001,False,12000,abrupt_covariate
55,0.0,0.001,True,27,gradual_concept_drift
56,0.0,0.0001,True,-1,nodrift_noisy
57,0.0,0.0001,True,28,stagger_short
58,0.0,0.0001,True,20,sine1_short
59,0.0,0.0001,True,21,sine2_short
60,0.0,0.0001,False,12000,smooth_concept_drift
61,0.0,0.0001,True,120,abrupt_concept_drift
62,0.0,0.0001,False,12000,abrupt_covariate
63,0.0,0.0001,True,76,gradual_concept_drift
64,0.001,1.0,False,-1,nodrift_noisy001
65,0.001,1.0,False,12000,stagger_short_noisy001
66,0.001,1.0,False,12000,sine1_short_noisy001
67,0.001,1.0,False,12000,sine2_short_noisy001
68,0.001,1.0,False,12000,smooth_concept_drift_noisy001
69,0.001,1.0,False,12000,abrupt_concept_drift_noisy001
70,0.001,1.0,False,12000,abrupt_covariate_noisy001
71,0.001,1.0,False,12000,gradual_concept_drift_noisy001
72,0.001,0.8,False,-1,nodrift_noisy001
73,0.001,0.8,True,13,stagger_short_noisy001
74,0.001,0.8,False,12000,sine1_short_noisy001
75,0.001,0.8,False,12000,sine2_short_noisy001
76,0.001,0.8,False,12000,smooth_concept_drift_noisy001
77,0.001,0.8,False,12000,abrupt_concept_drift_noisy001
78,0.001,0.8,False,12000,abrupt_covariate_noisy001
79,0.001,0.8,False,12000,gradual_concept_drift_noisy001
80,0.001,0.5,False,-1,nodrift_noisy001
81,0.001,0.5,True,15,stagger_short_noisy001
82,0.001,0.5,False,12000,sine1_short_noisy001
83,0.001,0.5,False,12000,sine2_short_noisy001
84,0.001,0.5,True,878,smooth_concept_drift_noisy001
85,0.001,0.5,False,12000,abrupt_concept_drift_noisy001
86,0.001,0.5,False,12000,abrupt_covariate_noisy001
87,0.001,0.5,False,12000,gradual_concept_drift_noisy001
88,0.001,0.25,False,-1,nodrift_noisy001
89,0.001,0.25,True,14,stagger_short_noisy001
90,0.001,0.25,False,12000,sine1_short_noisy001
91,0.001,0.25,False,12000,sine2_short_noisy001
92,0.001,0.25,True,853,smooth_concept_drift_noisy001
93,0.001,0.25,True,28,abrupt_concept_drift_noisy001
94,0.001,0.25,True,47,abrupt_covariate_noisy001
95,0.001,0.25,True,17,gradual_concept_drift_noisy001
96,0.001,0.1,True,-1,nodrift_noisy001
97,0.001,0.1,True,19,stagger_short_noisy001
98,0.001,0.1,True,3,sine1_short_noisy001
99,0.001,0.1,True,12,sine2_short_noisy001
100,0.001,0.1,True,1387,smooth_concept_drift_noisy001
101,0.001,0.1,True,5,abrupt_concept_drift_noisy001
102,0.001,0.1,True,2125,abrupt_covariate_noisy001
103,0.001,0.1,True,22,gradual_concept_drift_noisy001
104,0.001,0.01,True,-1,nodrift_noisy001
105,0.001,0.01,True,20,stagger_short_noisy001
106,0.001,0.01,True,6,sine1_short_noisy001
107,0.001,0.01,True,17,sine2_short_noisy001
108,0.001,0.01,True,2545,smooth_concept_drift_noisy001
109,0.001,0.01,True,26,abrupt_concept_drift_noisy001
110,0.001,0.01,False,12000,abrupt_covariate_noisy001
111,0.001,0.01,True,53,gradual_concept_drift_noisy001
112,0.001,0.001,True,-1,nodrift_noisy001
113,0.001,0.001,True,24,stagger_short_noisy001
114,0.001,0.001,True,17,sine1_short_noisy001
115,0.001,0.001,True,18,sine2_short_noisy001
116,0.001,0.001,False,12000,smooth_concept_drift_noisy001
117,0.001,0.001,True,79,abrupt_concept_drift_noisy001
118,0.001,0.001,False,12000,abrupt_covariate_noisy001
119,0.001,0.001,True,63,gradual_concept_drift_noisy001
120,0.001,0.0001,True,-1,nodrift_noisy001
121,0.001,0.0001,True,30,stagger_short_noisy001
122,0.001,0.0001,True,20,sine1_short_noisy001
123,0.001,0.0001,True,19,sine2_short_noisy001
124,0.001,0.0001,False,12000,smooth_concept_drift_noisy001
125,0.001,0.0001,True,78,abrupt_concept_drift_noisy001
126,0.001,0.0001,False,12000,abrupt_covariate_noisy001
127,0.001,0.0001,True,958,gradual_concept_drift_noisy001
128,0.01,1.0,False,-1,nodrift_noisy01
129,0.01,1.0,False,12000,stagger_short_noisy01
130,0.01,1.0,False,12000,sine1_short_noisy01
131,0.01,1.0,False,12000,sine2_short_noisy01
132,0.01,1.0,False,12000,smooth_concept_drift_noisy01
133,0.01,1.0,False,12000,abrupt_concept_drift_noisy01
134,0.01,1.0,False,12000,abrupt_covariate_noisy01
135,0.01,1.0,False,12000,gradual_concept_drift_noisy01
136,0.01,0.8,False,-1,nodrift_noisy01
137,0.01,0.8,True,14,stagger_short_noisy01
138,0.01,0.8,False,12000,sine1_short_noisy01
139,0.01,0.8,False,12000,sine2_short_noisy01
140,0.01,0.8,False,12000,smooth_concept_drift_noisy01
141,0.01,0.8,False,12000,abrupt_concept_drift_noisy01
142,0.01,0.8,False,12000,abrupt_covariate_noisy01
143,0.01,0.8,False,12000,gradual_concept_drift_noisy01
144,0.01,0.5,False,-1,nodrift_noisy01
145,0.01,0.5,False,12000,stagger_short_noisy01
146,0.01,0.5,False,12000,sine1_short_noisy01
147,0.01,0.5,False,12000,sine2_short_noisy01
148,0.01,0.5,False,12000,smooth_concept_drift_noisy01
149,0.01,0.5,False,12000,abrupt_concept_drift_noisy01
150,0.01,0.5,False,12000,abrupt_covariate_noisy01
151,0.01,0.5,False,12000,gradual_concept_drift_noisy01
152,0.01,0.25,False,-1,nodrift_noisy01
153,0.01,0.25,True,17,stagger_short_noisy01
154,0.01,0.25,False,12000,sine1_short_noisy01
155,0.01,0.25,True,9,sine2_short_noisy01
156,0.01,0.25,True,1111,smooth_concept_drift_noisy01
157,0.01,0.25,False,12000,abrupt_concept_drift_noisy01
158,0.01,0.25,True,156,abrupt_covariate_noisy01
159,0.01,0.25,False,12000,gradual_concept_drift_noisy01
160,0.01,0.1,True,-1,nodrift_noisy01
161,0.01,0.1,True,18,stagger_short_noisy01
162,0.01,0.1,True,7,sine1_short_noisy01
163,0.01,0.1,True,12,sine2_short_noisy01
164,0.01,0.1,True,1181,smooth_concept_drift_noisy01
165,0.01,0.1,True,22,abrupt_concept_drift_noisy01
166,0.01,0.1,True,319,abrupt_covariate_noisy01
167,0.01,0.1,True,12,gradual_concept_drift_noisy01
168,0.01,0.01,True,-1,nodrift_noisy01
169,0.01,0.01,True,25,stagger_short_noisy01
170,0.01,0.01,True,10,sine1_short_noisy01
171,0.01,0.01,True,16,sine2_short_noisy01
172,0.01,0.01,True,2410,smooth_concept_drift_noisy01
173,0.01,0.01,True,52,abrupt_concept_drift_noisy01
174,0.01,0.01,False,12000,abrupt_covariate_noisy01
175,0.01,0.01,True,28,gradual_concept_drift_noisy01
176,0.01,0.001,True,-1,nodrift_noisy01
177,0.01,0.001,True,27,stagger_short_noisy01
178,0.01,0.001,True,18,sine1_short_noisy01
179,0.01,0.001,True,18,sine2_short_noisy01
180,0.01,0.001,True,3114,smooth_concept_drift_noisy01
181,0.01,0.001,True,25,abrupt_concept_drift_noisy01
182,0.01,0.001,False,12000,abrupt_covariate_noisy01
183,0.01,0.001,True,885,gradual_concept_drift_noisy01
184,0.01,0.0001,True,-1,nodrift_noisy01
185,0.01,0.0001,True,28,stagger_short_noisy01
186,0.01,0.0001,True,22,sine1_short_noisy01
187,0.01,0.0001,True,20,sine2_short_noisy01
188,0.01,0.0001,False,12000,smooth_concept_drift_noisy01
189,0.01,0.0001,False,12000,abrupt_concept_drift_noisy01
190,0.01,0.0001,False,12000,abrupt_covariate_noisy01
191,0.01,0.0001,True,86,gradual_concept_drift_noisy01
192,0.05,1.0,False,-1,nodrift_noisy05
193,0.05,1.0,False,12000,stagger_short_noisy05
194,0.05,1.0,False,12000,sine1_short_noisy05
195,0.05,1.0,False,12000,sine2_short_noisy05
196,0.05,1.0,False,12000,smooth_concept_drift_noisy05
197,0.05,1.0,False,12000,abrupt_concept_drift_noisy05
198,0.05,1.0,False,12000,abrupt_covariate_noisy05
199,0.05,1.0,False,12000,gradual_concept_drift_noisy05
200,0.05,0.8,False,-1,nodrift_noisy05
201,0.05,0.8,False,12000,stagger_short_noisy05
202,0.05,0.8,False,12000,sine1_short_noisy05
203,0.05,0.8,False,12000,sine2_short_noisy05
204,0.05,0.8,False,12000,smooth_concept_drift_noisy05
205,0.05,0.8,False,12000,abrupt_concept_drift_noisy05
206,0.05,0.8,False,12000,abrupt_covariate_noisy05
207,0.05,0.8,False,12000,gradual_concept_drift_noisy05
208,0.05,0.5,False,-1,nodrift_noisy05
209,0.05,0.5,True,13,stagger_short_noisy05
210,0.05,0.5,False,12000,sine1_short_noisy05
211,0.05,0.5,False,12000,sine2_short_noisy05
212,0.05,0.5,False,12000,smooth_concept_drift_noisy05
213,0.05,0.5,False,12000,abrupt_concept_drift_noisy05
214,0.05,0.5,False,12000,abrupt_covariate_noisy05
215,0.05,0.5,False,12000,gradual_concept_drift_noisy05
216,0.05,0.25,False,-1,nodrift_noisy05
217,0.05,0.25,True,15,stagger_short_noisy05
218,0.05,0.25,False,12000,sine1_short_noisy05
219,0.05,0.25,False,12000,sine2_short_noisy05
220,0.05,0.25,False,12000,smooth_concept_drift_noisy05
221,0.05,0.25,False,12000,abrupt_concept_drift_noisy05
222,0.05,0.25,False,12000,abrupt_covariate_noisy05
223,0.05,0.25,False,12000,gradual_concept_drift_noisy05
224,0.05,0.1,False,-1,nodrift_noisy05
225,0.05,0.1,False,12000,stagger_short_noisy05
226,0.05,0.1,False,12000,sine1_short_noisy05
227,0.05,0.1,False,12000,sine2_short_noisy05
228,0.05,0.1,False,12000,smooth_concept_drift_noisy05
229,0.05,0.1,False,12000,abrupt_concept_drift_noisy05
230,0.05,0.1,True,353,abrupt_covariate_noisy05
231,0.05,0.1,True,17,gradual_concept_drift_noisy05
232,0.05,0.01,True,-1,nodrift_noisy05
233,0.05,0.01,True,23,stagger_short_noisy05
234,0.05,0.01,True,12,sine1_short_noisy05
235,0.05,0.01,True,17,sine2_short_noisy05
236,0.05,0.01,True,2060,smooth_concept_drift_noisy05
237,0.05,0.01,True,103,abrupt_concept_drift_noisy05
238,0.05,0.01,True,1146,abrupt_covariate_noisy05
239,0.05,0.01,True,26,gradual_concept_drift_noisy05
240,0.05,0.001,True,-1,nodrift_noisy05
241,0.05,0.001,True,26,stagger_short_noisy05
242,0.05,0.001,True,18,sine1_short_noisy05
243,0.05,0.001,True,22,sine2_short_noisy05
244,0.05,0.001,True,2830,smooth_concept_drift_noisy05
245,0.05,0.001,False,12000,abrupt_concept_drift_noisy05
246,0.05,0.001,False,12000,abrupt_covariate_noisy05
247,0.05,0.001,True,105,gradual_concept_drift_noisy05
248,0.05,0.0001,True,-1,nodrift_noisy05
249,0.05,0.0001,True,30,stagger_short_noisy05
250,0.05,0.0001,True,20,sine1_short_noisy05
251,0.05,0.0001,True,26,sine2_short_noisy05
252,0.05,0.0001,False,12000,smooth_concept_drift_noisy05
253,0.05,0.0001,False,12000,abrupt_concept_drift_noisy05
254,0.05,0.0001,False,12000,abrupt_covariate_noisy05
255,0.05,0.0001,True,1638,gradual_concept_drift_noisy05
256,0.1,1.0,False,-1,nodrift_noisy1
257,0.1,1.0,False,12000,stagger_short_noisy1
258,0.1,1.0,False,12000,sine1_short_noisy1
259,0.1,1.0,False,12000,sine2_short_noisy1
260,0.1,1.0,False,12000,smooth_concept_drift_noisy1
261,0.1,1.0,False,12000,abrupt_concept_drift_noisy1
262,0.1,1.0,False,12000,abrupt_covariate_noisy1
263,0.1,1.0,False,12000,gradual_concept_drift_noisy1
264,0.1,0.8,False,-1,nodrift_noisy1
265,0.1,0.8,False,12000,stagger_short_noisy1
266,0.1,0.8,False,12000,sine1_short_noisy1
267,0.1,0.8,False,12000,sine2_short_noisy1
268,0.1,0.8,False,12000,smooth_concept_drift_noisy1
269,0.1,0.8,False,12000,abrupt_concept_drift_noisy1
270,0.1,0.8,False,12000,abrupt_covariate_noisy1
271,0.1,0.8,False,12000,gradual_concept_drift_noisy1
272,0.1,0.5,False,-1,nodrift_noisy1
273,0.1,0.5,False,12000,stagger_short_noisy1
274,0.1,0.5,False,12000,sine1_short_noisy1
275,0.1,0.5,False,12000,sine2_short_noisy1
276,0.1,0.5,False,12000,smooth_concept_drift_noisy1
277,0.1,0.5,False,12000,abrupt_concept_drift_noisy1
278,0.1,0.5,False,12000,abrupt_covariate_noisy1
279,0.1,0.5,False,12000,gradual_concept_drift_noisy1
280,0.1,0.25,False,-1,nodrift_noisy1
281,0.1,0.25,False,12000,stagger_short_noisy1
282,0.1,0.25,False,12000,sine1_short_noisy1
283,0.1,0.25,False,12000,sine2_short_noisy1
284,0.1,0.25,False,12000,smooth_concept_drift_noisy1
285,0.1,0.25,False,12000,abrupt_concept_drift_noisy1
286,0.1,0.25,False,12000,abrupt_covariate_noisy1
287,0.1,0.25,False,12000,gradual_concept_drift_noisy1
288,0.1,0.1,False,-1,nodrift_noisy1
289,0.1,0.1,True,13,stagger_short_noisy1
290,0.1,0.1,False,12000,sine1_short_noisy1
291,0.1,0.1,True,18,sine2_short_noisy1
292,0.1,0.1,False,12000,smooth_concept_drift_noisy1
293,0.1,0.1,False,12000,abrupt_concept_drift_noisy1
294,0.1,0.1,True,2,abrupt_covariate_noisy1
295,0.1,0.1,False,12000,gradual_concept_drift_noisy1
296,0.1,0.01,False,-1,nodrift_noisy1
297,0.1,0.01,True,26,stagger_short_noisy1
298,0.1,0.01,True,19,sine1_short_noisy1
299,0.1,0.01,True,18,sine2_short_noisy1
300,0.1,0.01,True,1499,smooth_concept_drift_noisy1
301,0.1,0.01,True,155,abrupt_concept_drift_noisy1
302,0.1,0.01,False,12000,abrupt_covariate_noisy1
303,0.1,0.01,True,129,gradual_concept_drift_noisy1
304,0.1,0.001,True,-1,nodrift_noisy1
305,0.1,0.001,True,40,stagger_short_noisy1
306,0.1,0.001,True,20,sine1_short_noisy1
307,0.1,0.001,True,24,sine2_short_noisy1
308,0.1,0.001,False,12000,smooth_concept_drift_noisy1
309,0.1,0.001,False,12000,abrupt_concept_drift_noisy1
310,0.1,0.001,False,12000,abrupt_covariate_noisy1
311,0.1,0.001,True,911,gradual_concept_drift_noisy1
312,0.1,0.0001,True,-1,nodrift_noisy1
313,0.1,0.0001,True,41,stagger_short_noisy1
314,0.1,0.0001,True,20,sine1_short_noisy1
315,0.1,0.0001,True,24,sine2_short_noisy1
316,0.1,0.0001,False,12000,smooth_concept_drift_noisy1
317,0.1,0.0001,False,12000,abrupt_concept_drift_noisy1
318,0.1,0.0001,False,12000,abrupt_covariate_noisy1
319,0.1,0.0001,True,2103,gradual_concept_drift_noisy1
320,0.5,1.0,False,-1,nodrift_noisy5
321,0.5,1.0,False,12000,stagger_short_noisy5
322,0.5,1.0,False,12000,sine1_short_noisy5
323,0.5,1.0,False,12000,sine2_short_noisy5
324,0.5,1.0,False,12000,smooth_concept_drift_noisy5
325,0.5,1.0,False,12000,abrupt_concept_drift_noisy5
326,0.5,1.0,False,12000,abrupt_covariate_noisy5
327,0.5,1.0,False,12000,gradual_concept_drift_noisy5
328,0.5,0.8,False,-1,nodrift_noisy5
329,0.5,0.8,False,12000,stagger_short_noisy5
330,0.5,0.8,False,12000,sine1_short_noisy5
331,0.5,0.8,False,12000,sine2_short_noisy5
332,0.5,0.8,False,12000,smooth_concept_drift_noisy5
333,0.5,0.8,False,12000,abrupt_concept_drift_noisy5
334,0.5,0.8,False,12000,abrupt_covariate_noisy5
335,0.5,0.8,False,12000,gradual_concept_drift_noisy5
336,0.5,0.5,False,-1,nodrift_noisy5
337,0.5,0.5,False,12000,stagger_short_noisy5
338,0.5,0.5,False,12000,sine1_short_noisy5
339,0.5,0.5,False,12000,sine2_short_noisy5
340,0.5,0.5,False,12000,smooth_concept_drift_noisy5
341,0.5,0.5,False,12000,abrupt_concept_drift_noisy5
342,0.5,0.5,False,12000,abrupt_covariate_noisy5
343,0.5,0.5,False,12000,gradual_concept_drift_noisy5
344,0.5,0.25,False,-1,nodrift_noisy5
345,0.5,0.25,False,12000,stagger_short_noisy5
346,0.5,0.25,False,12000,sine1_short_noisy5
347,0.5,0.25,False,12000,sine2_short_noisy5
348,0.5,0.25,False,12000,smooth_concept_drift_noisy5
349,0.5,0.25,False,12000,abrupt_concept_drift_noisy5
350,0.5,0.25,False,12000,abrupt_covariate_noisy5
351,0.5,0.25,False,12000,gradual_concept_drift_noisy5
352,0.5,0.1,False,-1,nodrift_noisy5
353,0.5,0.1,False,12000,stagger_short_noisy5
354,0.5,0.1,False,12000,sine1_short_noisy5
355,0.5,0.1,True,266,sine2_short_noisy5
356,0.5,0.1,False,12000,smooth_concept_drift_noisy5
357,0.5,0.1,False,12000,abrupt_concept_drift_noisy5
358,0.5,0.1,False,12000,abrupt_covariate_noisy5
359,0.5,0.1,False,12000,gradual_concept_drift_noisy5
360,0.5,0.01,False,-1,nodrift_noisy5
361,0.5,0.01,True,1417,stagger_short_noisy5
362,0.5,0.01,True,1814,sine1_short_noisy5
363,0.5,0.01,True,292,sine2_short_noisy5
364,0.5,0.01,False,12000,smooth_concept_drift_noisy5
365,0.5,0.01,False,12000,abrupt_concept_drift_noisy5
366,0.5,0.01,False,12000,abrupt_covariate_noisy5
367,0.5,0.01,False,12000,gradual_concept_drift_noisy5
368,0.5,0.001,False,-1,nodrift_noisy5
369,0.5,0.001,False,12000,stagger_short_noisy5
370,0.5,0.001,True,234,sine1_short_noisy5
371,0.5,0.001,False,12000,sine2_short_noisy5
372,0.5,0.001,False,12000,smooth_concept_drift_noisy5
373,0.5,0.001,False,12000,abrupt_concept_drift_noisy5
374,0.5,0.001,True,1299,abrupt_covariate_noisy5
375,0.5,0.001,True,6626,gradual_concept_drift_noisy5
376,0.5,0.0001,True,-1,nodrift_noisy5
377,0.5,0.0001,False,12000,stagger_short_noisy5
378,0.5,0.0001,False,12000,sine1_short_noisy5
379,0.5,0.0001,False,12000,sine2_short_noisy5
380,0.5,0.0001,False,12000,smooth_concept_drift_noisy5
381,0.5,0.0001,False,12000,abrupt_concept_drift_noisy5
382,0.5,0.0001,False,12000,abrupt_covariate_noisy5
383,0.5,0.0001,False,12000,gradual_concept_drift_noisy5
